Country Name	Country Code	Series Name	Series Code	1960 [YR1960]	1961 [YR1961]	1962 [YR1962]	1963 [YR1963]	1964 [YR1964]	1965 [YR1965]	1966 [YR1966]	1967 [YR1967]	1968 [YR1968]	1969 [YR1969]	1970 [YR1970]	1971 [YR1971]	1972 [YR1972]	1973 [YR1973]	1974 [YR1974]	1975 [YR1975]	1976 [YR1976]	1977 [YR1977]	1978 [YR1978]	1979 [YR1979]	1980 [YR1980]	1981 [YR1981]	1982 [YR1982]	1983 [YR1983]	1984 [YR1984]	1985 [YR1985]	1986 [YR1986]	1987 [YR1987]	1988 [YR1988]	1989 [YR1989]	1990 [YR1990]	1991 [YR1991]	1992 [YR1992]	1993 [YR1993]	1994 [YR1994]	1995 [YR1995]	1996 [YR1996]	1997 [YR1997]	1998 [YR1998]	1999 [YR1999]	2000 [YR2000]	2001 [YR2001]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]	2019 [YR2019]	2020 [YR2020]	2021 [YR2021]	2022 [YR2022]	2023 [YR2023]	2024 [YR2024]	2025 [YR2025]	2026 [YR2026]	2027 [YR2027]	2028 [YR2028]	2029 [YR2029]	2030 [YR2030]	2031 [YR2031]	2032 [YR2032]	2033 [YR2033]	2034 [YR2034]	2035 [YR2035]	2036 [YR2036]	2037 [YR2037]	2038 [YR2038]	2039 [YR2039]	2040 [YR2040]	2041 [YR2041]	2042 [YR2042]	2043 [YR2043]	2044 [YR2044]	2045 [YR2045]	2046 [YR2046]	2047 [YR2047]	2048 [YR2048]	2049 [YR2049]	2050 [YR2050]
Australia	AUS	Female population 00-04	SP.POP.0004.FE	532941	545824	556051	559524	562733	568141	575113	575864	580000	586371	591387	605464	613851	620470	629285	624263	625584	611389	588173	566393	554885	537381	540869	556178	572851	585031	607945	616178	615448	613970	615636	614254	618662	625578	631782	634512	639220	637517	631667	625979	622113	615933	612461	612500	615611	623702	633137	643556	666882	690447	706627	725515	737891	743647	747104	753580	757946	771089	787000	802000	810000	821000	823000	821000	816000	813000	809000	808000	809000	811000	812000	814000	815000	815000	816000	818000	822000	827000	833000	840000	846000	855000	864000	871000	879000	886000	895000	903000	910000	917000	922000
Australia	AUS	Female population 05-09	SP.POP.0509.FE	503922	510488	521696	532467	544252	554543	569564	577073	584575	591571	596761	608762	610544	609389	614020	611208	610691	615696	624524	632598	636187	636727	628854	610580	589356	575022	570254	573499	585744	602535	615732	624039	629260	630142	630161	632176	636739	641258	646176	651658	656003	658946	658369	655342	650456	647193	645433	638991	642928	649880	657239	666023	682090	702369	722960	741039	760803	776220	784000	790000	796000	805000	815000	827000	837000	845000	852000	855000	854000	851000	848000	848000	847000	847000	846000	846000	847000	848000	849000	850000	852000	856000	862000	868000	874000	881000	889000	898000	906000	914000	921000
Australia	AUS	Female population 10-14	SP.POP.1014.FE	477689	491849	503723	509822	515597	522953	533128	541065	555922	574612	591180	607766	612663	615536	625683	628044	627388	626426	624756	623050	624582	632008	641800	650054	655151	655292	649517	637488	622923	610609	603905	603505	608491	616212	625052	632486	637397	640080	641721	644681	649643	658038	665184	672148	677084	680021	680772	672043	671656	672360	670769	672432	675980	679559	683323	689869	707872	729662	751000	771000	787000	802000	812000	820000	827000	835000	846000	858000	869000	878000	884000	889000	891000	890000	888000	886000	886000	886000	886000	885000	884000	885000	886000	888000	889000	890000	896000	902000	908000	914000	919000
Australia	AUS	Female population 15-19	SP.POP.1519.FE	374389	397422	425717	452611	476485	494944	516732	524762	527497	529308	533622	554863	570879	584813	601697	607922	615502	624623	633377	639115	642376	646831	647056	642282	638434	640024	647655	659083	672397	681543	681609	675970	662576	644066	628932	621508	618102	620102	626719	635082	642059	657025	667296	673415	676620	680548	697412	703596	712775	715931	711437	716285	723201	727431	726718	722939	724667	727912	731000	736000	746000	760000	779000	800000	819000	835000	849000	859000	867000	874000	881000	892000	904000	916000	924000	930000	935000	937000	936000	934000	932000	932000	933000	932000	932000	931000	932000	933000	935000	936000	937000
Australia	AUS	Female population 20-24	SP.POP.2024.FE	324306	335872	349837	363401	379589	398704	424511	451721	484446	516667	541087	560628	564396	563877	572290	578412	584369	594624	606937	617987	627664	640168	651078	657117	660356	663151	667523	668480	668731	670194	672785	677603	686387	695080	700731	700514	695871	680980	659785	640431	628043	630664	642515	661854	681693	698176	720634	732700	751577	769198	780714	786318	794483	801972	806693	808709	805441	801876	796000	790000	787000	784000	783000	785000	791000	800000	814000	833000	853000	872000	888000	901000	911000	918000	926000	934000	944000	956000	967000	977000	983000	987000	989000	988000	987000	986000	985000	985000	985000	985000	984000
Australia	AUS	Female population 25-29	SP.POP.2529.FE	312959	314281	321137	329744	340323	351562	364159	373372	385695	403014	425492	458303	489161	519470	551147	569310	580501	587269	591142	594708	601200	612596	624918	634950	644060	653939	666278	678623	691265	701992	707896	708838	704958	696948	690945	690067	694631	704487	717313	727356	728919	724472	709606	690043	673882	668688	680106	697626	732964	770321	800238	818769	837533	853480	865867	876422	880485	882627	880000	876000	870000	863000	856000	849000	843000	839000	836000	835000	837000	842000	851000	865000	883000	904000	923000	939000	952000	962000	969000	977000	985000	995000	1007000	1018000	1028000	1034000	1039000	1040000	1040000	1039000	1038000
Australia	AUS	Female population 30-34	SP.POP.3034.FE	354160	348682	344073	338067	334272	333698	336689	340033	348285	359510	371157	389307	401333	413285	433386	453193	475020	503914	535389	562716	583620	602190	613376	616930	619762	627091	637330	650473	666839	683823	698114	708512	717908	724550	729642	732653	733297	727391	717781	710567	709292	716476	731119	749562	762807	767223	764505	746196	735230	731601	737644	750287	778528	814165	847580	875090	895324	911134	920000	925000	930000	930000	928000	925000	921000	915000	908000	900000	893000	887000	883000	879000	878000	880000	885000	895000	908000	926000	947000	966000	983000	995000	1005000	1012000	1020000	1029000	1039000	1051000	1062000	1072000	1079000
Australia	AUS	Female population 35-39	SP.POP.3539.FE	368005	371649	374763	373937	371788	368624	365831	357686	350910	346981	346025	354057	361363	371281	387014	398558	405058	413345	424527	439791	460554	488059	520320	552007	580151	603853	620429	630897	638925	647871	658464	669436	681562	692731	704020	715409	726113	736662	746994	755950	761011	760204	752412	742210	734887	735847	744546	755329	780076	801389	810430	805781	797169	787330	783341	790920	806690	833128	863000	892000	915000	932000	945000	953000	959000	963000	963000	962000	958000	953000	947000	940000	932000	925000	919000	915000	912000	911000	912000	918000	928000	941000	959000	979000	999000	1016000	1028000	1038000	1046000	1053000	1063000
Australia	AUS	Female population 40-44	SP.POP.4044.FE	325723	332528	344644	356876	367948	375709	382057	382230	382258	382004	380098	379984	372760	365171	364599	364120	364104	368794	376318	384221	392683	405254	417872	430067	445811	468201	494952	527165	562539	595180	620093	637531	648067	653294	659529	669532	680311	690929	701982	714052	726564	740194	754230	767720	776890	781663	778711	763497	757635	757383	762069	771964	792545	814766	829517	834947	835090	828299	816000	811000	816000	829000	853000	883000	912000	935000	952000	965000	973000	978000	981000	982000	980000	977000	972000	966000	959000	951000	944000	938000	934000	931000	930000	932000	937000	947000	961000	979000	1000000	1019000	1035000
Australia	AUS	Female population 45-49	SP.POP.4549.FE	316136	319579	321660	321059	322419	327256	335384	343944	356225	368844	378377	388915	390653	389000	390099	385739	378867	371995	365779	361093	359458	362663	368760	375684	383923	394427	406017	418152	432868	451815	474864	502079	533787	565610	594469	618183	638890	651708	658967	665691	674545	684159	695164	708287	721797	736315	748908	755259	770532	782929	787390	785148	783026	781393	782769	789471	799272	815019	830000	842000	847000	845000	835000	824000	819000	824000	838000	862000	891000	919000	942000	959000	972000	980000	985000	988000	989000	987000	984000	979000	973000	966000	959000	952000	946000	942000	940000	939000	941000	946000	956000
Australia	AUS	Female population 50-54	SP.POP.5054.FE	262991	272603	285139	296499	306189	312966	316437	313809	312104	313821	319248	333466	345423	357326	371395	377734	380802	382653	382713	380427	376883	374069	369370	362792	357866	357149	359745	365793	375376	386746	397937	409314	420548	432488	448807	470851	497806	530025	565221	598775	626250	644916	654939	659908	663981	671816	679732	684297	700566	718616	733332	747143	763721	777957	786523	790635	793923	793738	789000	788000	791000	799000	812000	828000	840000	845000	844000	835000	824000	818000	822000	836000	860000	890000	917000	939000	957000	970000	978000	983000	986000	988000	987000	983000	979000	972000	966000	960000	953000	947000	942000
Australia	AUS	Female population 60-64	SP.POP.6064.FE	206121	206662	208553	209999	212529	216292	220334	224189	231282	240726	250500	262705	271862	280981	292831	299651	301778	302570	303120	305179	310538	318890	330337	342012	352482	361133	365318	367538	369016	369759	368796	365235	360602	355771	353519	354653	356763	361511	369044	378807	389538	399928	409974	422021	438438	461437	487797	514685	549433	580343	601264	614873	625441	633103	640698	651525	666140	683700	700000	716000	730000	743000	754000	764000	772000	776000	777000	775000	772000	771000	774000	783000	796000	812000	824000	828000	827000	819000	808000	803000	807000	822000	846000	875000	903000	925000	943000	956000	964000	970000	973000
