Country Name	Country Code	Series Name	Series Code	2016 [YR2016]
Australia	AUS	Female population 00-04	SP.POP.0004.FE	757946
Australia	AUS	Female population 05-09	SP.POP.0509.FE	760803
Australia	AUS	Female population 10-14	SP.POP.1014.FE	707872
Australia	AUS	Female population 15-19	SP.POP.1519.FE	724667
Australia	AUS	Female population 20-24	SP.POP.2024.FE	805441
Australia	AUS	Female population 25-29	SP.POP.2529.FE	880485
Australia	AUS	Female population 30-34	SP.POP.3034.FE	895324
Australia	AUS	Female population 35-39	SP.POP.3539.FE	806690
Australia	AUS	Female population 40-44	SP.POP.4044.FE	835090
Australia	AUS	Female population 45-49	SP.POP.4549.FE	799272
Australia	AUS	Female population 50-54	SP.POP.5054.FE	793923
Australia	AUS	Female population 60-64	SP.POP.6064.FE	666140
Australia	AUS	Female population 55-59	SP.POP.5559.FE	753695
Australia	AUS	Female population 65-69	SP.POP.6569.FE	601537
Australia	AUS	Female population 70-74	SP.POP.7074.FE	454986
Australia	AUS	Female population 75-79	SP.POP.7579.FE	336454
Australia	AUS	Female population 80+	SP.POP.80UP.FE	567803
Australia	AUS	Male population 00-04	SP.POP.0004.MA	798692
Australia	AUS	Male population 05-09	SP.POP.0509.MA	802846
Australia	AUS	Male population 10-14	SP.POP.1014.MA	747236
Australia	AUS	Male population 15-19	SP.POP.1519.MA	758933
Australia	AUS	Male population 20-24	SP.POP.2024.MA	853556
Australia	AUS	Male population 25-29	SP.POP.2529.MA	898558
Australia	AUS	Male population 30-34	SP.POP.3034.MA	901670
Australia	AUS	Male population 35-39	SP.POP.3539.MA	803582
Australia	AUS	Male population 40-44	SP.POP.4044.MA	824764
Australia	AUS	Male population 45-49	SP.POP.4549.MA	782092
Australia	AUS	Male population 50-54	SP.POP.5054.MA	784164
Australia	AUS	Male population 55-59	SP.POP.5559.MA	730971
Australia	AUS	Male population 60-64	SP.POP.6064.MA	643471
Australia	AUS	Male population 65-69	SP.POP.6569.MA	584409
Australia	AUS	Male population 70-74	SP.POP.7074.MA	437238
Australia	AUS	Male population 75-79	SP.POP.7579.MA	311589
Australia	AUS	Male population 80+	SP.POP.80UP.MA	398909
United Arab Emirates	ARE	Female population 00-04	SP.POP.0004.FE	227127
United Arab Emirates	ARE	Female population 05-09	SP.POP.0509.FE	221533
United Arab Emirates	ARE	Female population 10-14	SP.POP.1014.FE	181962
United Arab Emirates	ARE	Female population 15-19	SP.POP.1519.FE	168018
United Arab Emirates	ARE	Female population 20-24	SP.POP.2024.FE	186410
United Arab Emirates	ARE	Female population 25-29	SP.POP.2529.FE	273229
United Arab Emirates	ARE	Female population 30-34	SP.POP.3034.FE	341784
United Arab Emirates	ARE	Female population 35-39	SP.POP.3539.FE	311303
United Arab Emirates	ARE	Female population 40-44	SP.POP.4044.FE	239554
United Arab Emirates	ARE	Female population 45-49	SP.POP.4549.FE	159839
